u,g,r,i,z,ra,dec,flags_r
23.94429,23.852,22.14722,21.79644,23.16935,180.317363948706,0.118679509200732,4503874773745664
23.80906,23.67602,22.37649,21.5697,20.62359,180.315503818903,0.166904866086429,4503874807267344
25.39389,22.48022,21.37775,20.12271,19.84036,180.31653863481,0.166893910768373,51791670869524752
23.12662,23.70499,22.34364,21.90752,20.80435,180.316329548521,0.069394109372018,4503874907930624
24.98915,23.50473,22.12347,21.54518,21.36223,180.31593123888,0.142994529936977,49539871047417856
26.104,23.08626,21.60281,20.53032,19.56738,180.167741135546,0.191221171262979,4503874773712896
22.70169,22.84481,22.0142,21.64393,20.96051,180.165558018348,0.0440318014359213,4503874773745664
24.30682,21.3696,19.90388,19.30033,18.98372,180.165227754387,0.0722674595792532,4503874782134272
24.15496,23.46916,22.15127,22.20823,22.44242,180.021966442403,0.0855243052988806,4503874773712896
25.10507,25.51793,22.6122,22.56322,23.31435,180.02179866016,0.0342631498869387,13510799284765184
26.8383,22.34271,20.7225,19.74232,19.23619,180.021477988441,0.0833764780666277,4503874773746944
22.21155,22.48165,21.21893,20.96477,20.92487,180.021271937631,0.0629881930418004,4503874773745664
24.33015,22.41361,22.12469,21.79385,21.68082,180.023180691064,0.0123309310728205,4503874773712896
23.93764,22.30862,21.90034,21.44213,24.19469,180.021956757011,0.129861534513757,4503874849210440
22.54686,22.65124,22.4549,21.85346,21.03615,180.022928980504,0.0421802072369776,4503874773712896
22.68728,22.46469,22.39686,22.41226,21.64656,180.022714392956,0.0538038039077967,4503874773712896
26.16281,22.60783,21.69989,21.30638,20.53173,180.021088665706,0.140377484363643,4503874773745664
22.66801,24.40213,22.2439,22.26734,21.7285,180.865917278006,-0.349832889591319,4503874773712896
21.30732,19.81607,19.23429,18.96151,18.7128,180.867931897196,-0.274111386330372,4503874773745664
22.88523,22.05366,20.91484,20.34271,20.14393,180.866457734067,-0.343093550244308,4503874840855880
24.82974,22.84488,22.46839,22.9081,22.54806,180.866761270997,-0.369566627527113,4503874807300112
23.97568,22.79645,21.07819,20.61463,20.06799,180.867374372533,-0.367725820714897,2310346883995795472
24.4651,22.17746,20.38312,19.75834,19.41351,180.865606603145,-0.371299004597116,4503874773745680
24.43511,22.01524,20.67731,20.04764,19.86817,180.866560664009,-0.417982274079463,2310346883987406864
22.92752,20.95582,19.53171,19.04826,18.81144,180.865482896232,-0.419696470882169,4503874773876752
24.0863,23.70944,22.74905,21.76408,21.58799,180.73254856029,-0.360340709090999,4503874773712896
24.13343,23.10314,22.196,22.3835,21.83481,180.731483546213,-0.243946862913816,4503874773712896
24.51632,22.86187,21.87589,21.42074,22.63713,180.732161221561,-0.224992440804869,4503874840821832
23.32368,22.26639,20.86275,20.44649,20.3118,180.732046470322,-0.272755500531497,4503874782134272
23.8118,22.77151,21.35073,20.81082,20.24495,180.731558812378,-0.256099159026853,4503874773745664
23.6393,22.06591,21.31955,20.76917,20.25573,180.600364834081,-0.376340553509629,4503874782134272
22.3272,22.40582,20.98499,20.45355,20.41051,180.600088230251,-0.228357064285201,4503874907963904
23.05427,22.02264,21.16752,20.77172,20.39796,180.600164860536,-0.283844822536573,4503874773712896
21.06157,20.02574,19.16115,18.79291,18.43007,180.599540005954,-0.265494332020103,4503874773745664
21.73058,21.24759,20.70872,20.41507,20.01366,180.731501371132,-0.3934054749394,4503874773745664
20.84004,19.15726,18.08891,17.65797,17.34024,180.599919985094,-0.212473120462389,4503874866020936
26.17613,26.03291,21.97286,21.27096,20.23042,180.459835036493,-0.404368691718095,4503600030024192
24.31212,22.89672,21.83046,21.40042,22.49085,180.458509166311,-0.355462780638469,4503874773712896
22.56936,21.91084,21.37991,20.95906,20.39573,180.598391685337,-0.356842252608081,4503874773745664
22.76554,22.22805,21.71544,21.58258,21.67505,180.597801112758,-0.227429067535668,4503874773745664
22.78714,21.74128,20.19622,19.56701,19.05154,180.461338442618,-0.400723184383877,6755674587398160
25.06941,22.8323,21.97834,21.52105,21.38014,180.461397503259,-0.298617577345084,6755674629341208
25.11347,22.53901,21.64284,21.22409,21.42948,180.46041167357,-0.362309006065495,4503874782134272
24.35111,22.19867,21.09548,20.80904,20.53631,180.459339199639,-0.219963152657473,4503874773745664
22.75285,22.29887,21.44338,20.49863,20.50477,180.459112500911,-0.402084313136346,6755674595950608
23.39576,23.00223,22.49811,21.50294,20.85706,180.458929718725,-0.409234382042398,4503874773712896
22.18408,21.25288,19.949,19.35166,19.03885,180.459102005925,-0.368692069327807,4503874773745664
24.13941,22.47623,21.46163,21.17723,21.14869,180.458725187646,-0.239909052494731,4503874773745664
23.20311,22.54775,21.6197,21.28786,20.56181,180.458511379409,-0.218041065493782,4503874773713408
22.38842,22.68368,21.73869,22.24575,20.90631,180.458335332003,-0.268531125668771,13511074036875520
25.48244,22.42826,20.92357,20.35911,19.92226,180.458355369624,-0.365489906323808,4503874773745664
21.01479,20.19797,19.75189,19.5706,19.62127,180.460251776718,-0.282284113986734,4503874773712896
21.67743,21.01255,20.63644,20.42665,20.32961,180.458980671569,-0.295901547924934,2310346883987440912
23.0127,20.77874,19.71174,19.29662,18.93759,180.598743168965,-0.291543941393774,6755674595819536
21.61287,20.95836,20.45624,20.28378,20.6916,180.460288461234,-0.273620571833634,6755674620985360
21.42471,19.31163,18.35011,17.936,17.56852,180.598164338763,-0.319029251247193,6755674587562000
21.8557,19.9616,18.78846,18.27155,17.92413,180.459480940551,-0.31253748856564,6755674587430928
25.62901,22.79468,21.58363,21.00455,20.40299,180.316878312711,-0.301078824521136,4503874773745664
23.47178,23.11593,21.9094,21.21753,20.9349,180.316192309501,-0.232788529865213,4503874907963392
25.1806,23.98356,22.23506,22.06926,21.23862,180.316013955484,-0.210253661939916,4503874773712896
25.21372,22.55909,21.8246,21.41796,20.8549,180.317527276629,-0.362111074605456,6755674595819536
22.43478,22.14718,21.35085,21.37934,21.13151,180.316867628713,-0.263310527781389,4503874773745664
22.4975,22.34797,21.3205,20.94785,20.44566,180.316134248617,-0.329941758168351,4503874773746944
23.26353,22.86747,21.86338,21.7797,22.4213,180.316065052625,-0.29790960380979,4503874773712896
24.92845,22.95435,22.27275,22.20364,21.8693,180.316578670599,-0.276132289646507,2310346883987406864
20.36253,19.19281,18.36353,17.95201,17.64218,180.316963463461,-0.369134356563515,6755674587430928
23.65696,24.13965,22.65599,22.55887,22.15073,180.168591183783,-0.297544994417159,49539871055806464
24.38319,23.20289,21.35442,20.33409,19.85421,180.168311980338,-0.328673475122327,4503874773712896
23.87918,22.2137,20.638,20.15664,19.23485,180.168027892496,-0.307749075222317,4503874782134528
22.69542,22.83679,22.00904,21.84105,21.7306,180.167555701674,-0.253558416877795,49539871055839232
23.3586,23.80367,22.28456,22.46459,22.84327,180.165521889269,-0.303977442508352,4503874773712896
22.92255,22.93672,22.45701,22.34808,21.74755,180.166585318476,-0.374027709737475,4503874773712896
25.10602,26.54867,21.87181,24.95386,22.60313,180.166412891516,-0.390538063674938,4503874840821832
21.54459,21.45167,20.7259,20.43597,20.23549,180.167681836394,-0.256194542076844,4503874773712896
24.13824,23.16909,22.1646,22.01294,21.22434,180.166996921318,-0.262564398527325,4503874815705368
20.2243,19.17605,18.46971,18.10754,17.93479,180.165515818762,-0.25966974796619,6755674587430928
22.74094,21.57915,20.33946,19.87785,19.52791,180.167854123883,-0.382917093939362,2310346883987406864
21.67643,21.79519,20.73638,20.56374,20.18502,180.166812974176,-0.290541716818121,2312598683801124880
24.67453,21.25756,20.93262,20.64106,20.76362,180.167275816794,-0.214988807647832,2310346883987406864
21.94256,20.11207,19.05536,18.64115,18.36844,180.166170041366,-0.217139002261938,6755674587430928
21.18261,19.96247,19.38625,19.00398,18.76588,180.167456483131,-0.236488626706338,6755674587430928
23.3865,23.01752,22.39418,21.88256,23.05124,180.023165184112,-0.230686026208468,6755674587398168
23.14001,22.27367,21.15909,20.50904,20.1117,180.021005649112,-0.295842309469808,4503874773712896
25.65948,22.98047,21.86028,21.23043,20.64327,180.020915776237,-0.353784139550453,4503874773712896
23.19767,23.17107,22.2454,21.75073,22.1958,180.020617673209,-0.233529605173557,4503874782101504
23.75115,21.29843,20.89075,20.69973,20.66778,180.022529717061,-0.330261644036872,4503874773746944
23.23936,22.34577,20.8222,20.13369,19.65506,180.020779683854,-0.283261009742978,4503874773745664
22.29653,22.12513,21.51649,21.11781,20.65935,180.020857479007,-0.24233976591396,4503874773712896
24.55105,23.13096,22.74514,22.26897,21.89377,180.020059132061,-0.362394112979979,4503874773712896
22.34986,20.90767,19.51056,19.02231,18.69,180.020224261387,-0.408384818097226,6755674587430928
23.2093,23.79857,22.70656,22.14439,21.45366,180.86869229745,0.291631461386312,4503874907964672
23.77002,23.61123,22.59583,22.20992,22.3872,180.867440155448,0.270253379175847,4503874782101504
23.7302,22.634,21.6105,21.46934,20.92098,180.731209253154,0.234587748011153,4503874773745664
24.24211,24.05462,22.51529,21.39945,21.11761,180.730383755605,0.414746421921213,4503874907930624
22.40187,22.03874,21.82512,21.87731,21.21409,180.867907481638,0.301906311474088,13511074103984457
21.86842,22.3152,21.15972,20.99423,21.16982,180.867794035466,0.320842062414834,4503874773712896
23.55767,23.31809,22.17601,22.56419,21.16464,180.867910406927,0.250107653831678,4503874983461192
22.42827,21.94668,21.1596,21.03286,20.95175,180.866502355078,0.303962510041354,4503874773745664
24.6959,24.56032,22.35505,23.3294,21.5062,180.867339153162,0.35518194550025,2310346883995828752
23.81024,21.97626,20.25354,19.40898,19.15027,180.730872989425,0.4060684188151,6755674587398160
22.03323,22.1461,21.69469,22.28203,20.83055,180.865416359553,0.301823101642719,4503874773712896
22.81044,23.71103,22.14793,21.80449,22.35806,180.600341811218,0.311704561406403,4503874782101760
24.36796,23.03716,22.1715,22.06096,21.45597,180.600252947762,0.31967546948972,4503874773712896
23.83709,22.47949,21.67097,20.58,20.80149,180.600012740161,0.327011653786468,4503874916352256
22.92233,22.62884,21.79457,21.4245,20.89303,180.598463953517,0.276062772691132,4503874907930624
21.669,20.69055,19.74707,19.26146,19.00154,180.598833113324,0.307463209953418,4503874773745664
22.19364,22.20264,21.83983,21.37235,21.90158,180.597736962177,0.217761316572574,4503874773712896
24.64928,23.85972,21.99959,21.13725,20.54587,180.461147657503,0.392189479839323,4503874773712896
23.33767,22.91706,22.06452,21.36737,20.97416,180.461049467438,0.274235018213409,4503874907930624
22.88172,22.49866,21.39089,21.21779,20.45354,180.461108138852,0.244581902264883,4503874773745664
